Table S1: DESeq2 differential gene expression analysis of Staphylococcus aureus USA300 wild type after AGXX® treatment ,,,,,,,,,,,,,
USA300-numbers,COL-numbers,Gene symbol,Operon,Regulon,Function,Base mean,A-value,M-value,Fold change,Standard error,Wald statistic,P-value,Adjusted P-value
USA300HOU_0946,SACOL0993,oppD,SACOL0990 oppB oppC oppD oppF oppA,MgrA,"oligopeptide ABC transporter,  ATP-binding protein",1914.91,10.90,-1.54,0.34,0.19,-8.03,9.47258E-16,2.73E-15
USA300HOU_0569,SACOL0622,vraB,vraABC SACOL0624,VraSR,acetyl-CoA C-acetyltransferase,334.37,8.39,-1.54,0.34,0.19,-8.09,5.87965E-16,1.71E-15
USA300HOU_0343,SACOL0393,USA300HOU_0343,SACOL0393,-,hypothetical protein,18.07,4.18,-1.54,0.34,0.62,-2.47,0.013493961,1.89E-02
USA300HOU_2096,SACOL2098,atpH,atpCDGAHFEBI mnaA upp glyA ywlG,GraRS,proton-translocating F-type ATPase  beta subunit,9788.08,13.26,-1.54,0.34,0.14,-11.29,1.44437E-29,6.54E-29
USA300HOU_2523,SACOL2546,pfoR,sdaAA sdaAB pfoR,AgrA,hypothetical protein,604.10,9.24,-1.54,0.34,0.17,-8.97,3.06371E-19,9.94E-19
USA300HOU_0809,SACOL0845,est,est rnr smpB,-,carboxylesterase,3644.16,11.83,-1.54,0.34,0.14,-11.07,1.83904E-28,8.02E-28
USA300HOU_2421,SACOL2438,USA300HOU_2421,SACOL2438,-,hypothetical protein,159.43,7.32,-1.55,0.34,0.25,-6.09,1.13501E-09,2.54E-09
USA300HOU_1545,SACOL1600,comGB,comGD comGC comGB comGA ,MgrA,competence protein ComGB,80.91,6.34,-1.55,0.34,0.35,-4.39,1.11471E-05,1.99E-05
USA300HOU_0540,SACOL0592,rpsG,rplL3 rpsL rpsG fusA tuf,Translation,ribosomal protein S7,45005.49,15.46,-1.55,0.34,0.14,-10.82,2.7499E-27,1.16E-26
USA300HOU_2377,SACOL2393,narJ,nreA nreB nreC narI narJ narH narG,SigB,respiratory nitrate reductase subunit delta,62.35,5.96,-1.56,0.34,0.45,-3.49,0.000475501,7.51E-04
USA300HOU_2709,SACOL2730,USA300HOU_2709,SACOL2729 SACOL2730,-,hypothetical protein,63.47,5.99,-1.56,0.34,0.37,-4.21,2.55918E-05,4.44E-05
USA300HOU_0231,SACOL0202,hptS,hptRSA,-,sensor histidine kinase,476.53,8.90,-1.57,0.34,0.17,-9.10,8.6511E-20,2.86E-19
USA300HOU_1885,SACOL1947,USA300HOU_1885,SACOL1947,-,hypothetical protein,344.81,8.43,-1.58,0.33,0.22,-7.30,2.78014E-13,7.33E-13
USA300HOU_2585,-,USA300HOU_2585,-,-,hypothetical protein,45.73,5.51,-1.58,0.33,0.41,-3.88,0.000103282,1.71E-04
USA300HOU_1597,SACOL1652,aroE,holA comEC comEB comEA ubiE rsfS yqeK nadD yhbY aroE yqeH yqeG mtn,-,shikimate 5-dehydrogenase,2391.90,11.22,-1.58,0.33,0.14,-11.36,6.5804E-30,3.01E-29
USA300HOU_2095,SACOL2097,atpA,atpCDGAHFEBI mnaA upp glyA ywlG,GraRS,proton-translocating F-type ATPase  alpha subunit,25305.36,14.63,-1.58,0.33,0.12,-13.09,3.71365E-39,2.20E-38
USA300HOU_1560,SACOL1615,cshB,nfo cshB,-,DEAD/DEAH box helicase,5006.40,12.29,-1.58,0.33,0.12,-12.68,8.01708E-37,4.46E-36
USA300HOU_0220,SACOL0192,malK,malKEFD,GraRS,maltose ABC transporter ATP-binding protein,501.70,8.97,-1.59,0.33,0.26,-6.11,9.66016E-10,2.17E-09
USA300HOU_0774,SACOL0810,tagO,tagO,-,"glycosyl transferase, group 4 family protein",2274.66,11.15,-1.59,0.33,0.14,-11.23,2.83128E-29,1.27E-28
USA300HOU_0978,SACOL1025,prfC,murE SACOL1024 prfC,-,peptide chain release factor 3,4889.19,12.26,-1.59,0.33,0.14,-11.51,1.1272E-30,5.25E-30
USA300HOU_2375,SACOL2391,nreA,nreA nreB nreC narI narJ narH narG,SigB,hypothetical protein,773.83,9.60,-1.60,0.33,0.17,-9.63,6.06275E-22,2.14E-21
USA300HOU_0889,SACOL0931,pdxp,SACOL0930 pdxp ghrB,-,HAD-superfamily hydrolase,1523.08,10.57,-1.60,0.33,0.14,-11.69,1.49826E-31,7.16E-31
USA300HOU_1544,SACOL1599,comGC,comGD comGC comGB comGA ,MgrA,competence protein ComGC,21.57,4.43,-1.60,0.33,0.59,-2.70,0.006916588,9.92E-03
USA300HOU_1636,SACOL1692,secDF,secDF,-,bifunctional preprotein translocase subunit SecD/SecF,7756.81,12.92,-1.60,0.33,0.13,-11.98,4.70374E-33,2.35E-32
USA300HOU_0271,SACOL0245,lytS,lytS lytR,MgrA,sensor histidine kinase LytS,791.75,9.63,-1.60,0.33,0.18,-9.08,1.09514E-19,3.61E-19
USA300HOU_1587,SACOL1642,rpsT,rpsT,-,30S ribosomal protein S20,9694.69,13.24,-1.60,0.33,0.17,-9.53,1.56339E-21,5.43E-21
USA300HOU_1618,SACOL1673,alaS,SACOL1670 yrrK SACOL1672 alaS,-,alanyl-tRNA synthetase,9829.11,13.26,-1.60,0.33,0.16,-10.07,7.60562E-24,2.88E-23
USA300HOU_1005,SACOL1070,qoxA,qoxD qoxC qoxA qoxB,-,quinol oxidase subunit II,24200.01,14.56,-1.61,0.33,0.15,-10.77,4.91719E-27,2.05E-26
USA300HOU_1227,SACOL1315,mutS,mutSL glpP,GraRS,DNA mismatch repair protein MutS,1773.18,10.79,-1.61,0.33,0.18,-9.16,5.36151E-20,1.78E-19
USA300HOU_1352,-,USA300HOU_1352,-,-,hypothetical protein,26.00,4.70,-1.61,0.33,0.53,-3.02,0.002511927,3.77E-03
USA300HOU_0709,SACOL0746,mgrA,mgrA,GraRS,possible MarR family transcriptional regulator,19275.76,14.23,-1.61,0.33,0.16,-10.16,2.95897E-24,1.13E-23
USA300HOU_0460,SACOL0497,USA300HOU_0460,SACOL0497,-,hypothetical protein,175.67,7.46,-1.61,0.33,0.26,-6.23,4.63149E-10,1.06E-09
USA300HOU_0285,SACOL0259,USA300HOU_0285,SACOL0259,GraRS,hypothetical protein,236.67,7.89,-1.61,0.33,0.21,-7.72,1.14704E-14,3.17E-14
USA300HOU_0765,-,USA300HOU_0765,-,-,hypothetical protein,149.10,7.22,-1.63,0.32,0.24,-6.78,1.20178E-11,2.96E-11
USA300HOU_1800,SACOL1862,hsdM2,hsdS2 hsdM2,-,"type I restriction-modification system, M subunit",832.30,9.70,-1.63,0.32,0.17,-9.57,1.06354E-21,3.71E-21
USA300HOU_1405,SACOL1507,USA300HOU_1405,SACOL1507 SACOL1508,-,hypothetical protein,36.37,5.18,-1.63,0.32,0.46,-3.56,0.000375109,5.96E-04
USA300HOU_1106,SACOL1181,argF,argF arcC1,-,ornithine carbamoyltransferase,82.89,6.37,-1.63,0.32,0.30,-5.40,6.64333E-08,1.35E-07
USA300HOU_1109,-,USA300HOU_1109,-,-,hypothetical protein,1097.48,10.10,-1.63,0.32,0.15,-10.64,2.02578E-26,8.23E-26
USA300HOU_1170,SACOL1248,rnc,rnc,-,ribonuclease III,654.89,9.36,-1.63,0.32,0.19,-8.66,4.57045E-18,1.43E-17
USA300HOU_0807,SACOL0843,USA300HOU_0807,SACOL0843,-,hypothetical protein,1602.45,10.65,-1.64,0.32,0.16,-10.43,1.73996E-25,6.88E-25
USA300HOU_1916,SACOL1976,nos,nos pheA,-,"nitric-oxide synthase, oxygenase subunit",1058.17,10.05,-1.64,0.32,0.19,-8.84,9.88405E-19,3.15E-18
USA300HOU_1559,SACOL1614,nfo,nfo cshB,-,endonuclease IV,4286.76,12.07,-1.64,0.32,0.13,-12.51,6.39608E-36,3.48E-35
USA300HOU_0814,SACOL0850,USA300HOU_0814,SACOL0849 SACOL0850,GraRS,hypothetical protein,99.00,6.63,-1.64,0.32,0.29,-5.70,1.20847E-08,2.54E-08
USA300HOU_0571,SACOL0624,USA300HOU_0571,vraABC SACOL0624,VraSR,hypothetical protein,88.95,6.47,-1.65,0.32,0.33,-5.03,5.00055E-07,9.69E-07
USA300HOU_0504,SACOL0554,hpt,tilS hpt,-,hypoxanthine phosphoribosyltransferase,2398.36,11.23,-1.65,0.32,0.15,-11.02,3.17962E-28,1.37E-27
USA300HOU_1322,SACOL1423,pstC,phoU pstB pstA pstC pstS,-,phosphate ABC transporter permease,19.44,4.28,-1.65,0.32,0.60,-2.76,0.00576441,8.33E-03
USA300HOU_2347,SACOL2361,USA300HOU_2347,hssRS lytT SACOL2361,GraRS,hypothetical membrane protein,204.76,7.68,-1.65,0.32,0.32,-5.18,2.1759E-07,4.31E-07
USA300HOU_1639,SACOL1695,queA,yajC tgt queA ruvB ruvA thrR obgE,-,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,4494.13,12.13,-1.65,0.32,0.13,-12.67,9.11247E-37,5.06E-36
USA300HOU_0812,SACOL0848,USA300HOU_0812,SACOL0848,-,hypothetical protein,25.20,4.66,-1.66,0.32,0.54,-3.05,0.002294136,3.45E-03
USA300HOU_0981,SACOL1030,ktrD,htrA2 ktrD,-,sodium transport family protein,2095.26,11.03,-1.67,0.31,0.16,-10.48,1.11521E-25,4.43E-25
USA300HOU_0928,SACOL0974,USA300HOU_0928,SACOL0974,-,hypothetical protein,761.56,9.57,-1.67,0.31,0.19,-8.74,2.39486E-18,7.55E-18
USA300HOU_1326,SACOL1426,cvfB,cvfB,-,hypothetical protein,7538.11,12.88,-1.67,0.31,0.19,-9.01,2.06262E-19,6.72E-19
USA300HOU_2489,SACOL2508,gtaB,gtaB,-,UTP-glucose-1-phosphate uridylyltransferase,793.15,9.63,-1.67,0.31,0.17,-10.14,3.81992E-24,1.46E-23
USA300HOU_0977,SACOL1024,USA300HOU_0977,murE SACOL1024 prfC,-,hypothetical protein,780.95,9.61,-1.67,0.31,0.17,-9.63,6.14829E-22,2.17E-21
USA300HOU_1155,SACOL1230,rlmN,def2 fmt sun rlmN stp1 pknB,-,ribosomal RNA large subunit methyltransferase N,4539.92,12.15,-1.68,0.31,0.14,-12.35,4.57777E-35,2.43E-34
USA300HOU_0122,SACOL0095,spa,spa,TraP,immunoglobulin G binding protein A,55898.64,15.77,-1.68,0.31,0.17,-9.76,1.64824E-22,5.93E-22
USA300HOU_2114,SACOL2118,USA300HOU_2114,SACOL2118,-,hypothetical protein,587.93,9.20,-1.68,0.31,0.17,-9.92,3.44283E-23,1.28E-22
USA300HOU_1717,SACOL1778,tyrS,tyrS,-,tyrosyl-tRNA synthetase,1104.99,10.11,-1.69,0.31,0.17,-9.92,3.25619E-23,1.21E-22
USA300HOU_1134,SACOL1209,rluD,lspA rluD,-,RluD subfamily ribosomal large subunit pseudouridine synthase,3389.40,11.73,-1.69,0.31,0.16,-10.56,4.80732E-26,1.94E-25
USA300HOU_2091,SACOL2093,USA300HOU_2091,fabZ murA1 SACOL2093,SigB,hypothetical protein,673.58,9.40,-1.69,0.31,0.17,-9.71,2.66137E-22,9.46E-22
USA300HOU_2222,SACOL2220,rplO,adk secY rplO rpmD rpsE rplR rplF rpsH rpsN2 rplE rplX rplN rpsQ rpmC rplP rpsC rplV rpsS rplB rplW rplD rplC rpsJ,-,50S ribosomal protein L15,25044.84,14.61,-1.69,0.31,0.15,-11.37,6.14655E-30,2.82E-29
USA300HOU_2289,SACOL2299,USA300HOU_2289,SACOL2298 SACOL2299,-,hypothetical protein,426.82,8.74,-1.69,0.31,0.24,-7.12,1.08265E-12,2.79E-12
USA300HOU_0162,SACOL0135,adhE,adhE,GraRS,alcohol dehydrogenase,216.29,7.76,-1.70,0.31,0.25,-6.77,1.3202E-11,3.25E-11
USA300HOU_1154,SACOL1229,sun,def2 fmt sun rlmN stp1 pknB,-,sun protein,4155.79,12.02,-1.70,0.31,0.13,-12.86,7.50235E-38,4.31E-37
USA300HOU_1290,SACOL1392,alsT,alsT,-,sodium:alanine symporter family protein,6637.66,12.70,-1.71,0.31,0.14,-11.83,2.71914E-32,1.33E-31
USA300HOU_2045,SACOL2039,rimI,gcp rimI yeaZ yjeE,-,ribosomal-protein-alanine acetyltransferase,602.61,9.24,-1.71,0.31,0.25,-6.82,9.22612E-12,2.28E-11
USA300HOU_1071,-,USA300HOU_1071,-,-,hypothetical protein,35.52,5.15,-1.71,0.30,0.44,-3.91,9.19549E-05,1.53E-04
USA300HOU_1832,SACOL1896,USA300HOU_1832,SACOL1896,VraSR,hypothetical membrane protein,99.81,6.64,-1.72,0.30,0.31,-5.59,2.26501E-08,4.70E-08
USA300HOU_2046,SACOL2040,yeaZ,gcp rimI yeaZ yjeE,-,glycoprotease,650.16,9.34,-1.72,0.30,0.24,-7.27,3.58344E-13,9.39E-13
USA300HOU_1683,SACOL1743,aapA,aapA,GraRS,APC family amino acid-polyamine-organocation transporter,5813.88,12.51,-1.72,0.30,0.17,-10.22,1.56876E-24,6.06E-24
USA300HOU_2392,SACOL2409,fmhA,fmhA,-,fmhA protein,392.81,8.62,-1.72,0.30,0.18,-9.32,1.2036E-20,4.08E-20
USA300HOU_2263,SACOL2274,USA300HOU_2263,SACOL2274,-,acetyltransferase,617.65,9.27,-1.73,0.30,0.17,-10.35,4.25037E-25,1.66E-24
USA300HOU_2047,SACOL2041,yjeE,gcp rimI yeaZ yjeE,-,putative ATPase,520.24,9.02,-1.73,0.30,0.30,-5.86,4.67544E-09,1.01E-08
USA300HOU_2342,SACOL2356,hrtA,hrtA hrtB,-,ABC transporter ATP-binding protein,167.53,7.39,-1.73,0.30,0.27,-6.45,1.11489E-10,2.62E-10
USA300HOU_0245,SACOL0216,prsS,prsS,-,hypothetical protein,504.32,8.98,-1.73,0.30,0.19,-9.24,2.57271E-20,8.63E-20
USA300HOU_0824,SACOL0861,cspC,cspC,-,CSD family cold shock protein,36855.95,15.17,-1.73,0.30,0.52,-3.35,0.000805866,1.25E-03
USA300HOU_0503,SACOL0553,tilS,tilS hpt,-,hypothetical protein,1891.50,10.89,-1.74,0.30,0.14,-12.05,2.02702E-33,1.03E-32
USA300HOU_2594,SACOL2616,panE,panE,-,2-dehydropantoate 2-reductase,804.52,9.65,-1.74,0.30,0.15,-11.65,2.19079E-31,1.04E-30
USA300HOU_2376,SACOL2392,narI,nreA nreB nreC narI narJ narH narG,SigB,respiratory nitrate reductase subunit gamma,498.59,8.96,-1.74,0.30,0.19,-9.04,1.56922E-19,5.13E-19
USA300HOU_1720,SACOL1781,isdH,isdH,Fur,cell wall surface anchored protein,8004.95,12.97,-1.74,0.30,0.13,-13.94,3.82982E-44,2.52E-43
USA300HOU_0294,SACOL0268,USA300HOU_0294,SACOL0268,-,hypothetical protein,96.93,6.60,-1.75,0.30,0.34,-5.12,3.06245E-07,5.99E-07
USA300HOU_1525,SACOL1568,xseA,ispA xseB xseA nusB SACOL1570 accC accB,-,exodeoxyribonuclease VII large subunit,7405.23,12.85,-1.75,0.30,0.14,-12.93,3.18789E-38,1.85E-37
USA300HOU_0866,-,USA300HOU_0866,-,-,hypothetical protein,5345.30,12.38,-1.76,0.30,0.15,-11.49,1.42855E-30,6.64E-30
USA300HOU_0813,SACOL0849,USA300HOU_0813,SACOL0849 SACOL0850,GraRS,hypothetical protein,200.33,7.65,-1.76,0.29,0.25,-7.13,9.81973E-13,2.53E-12
USA300HOU_1206,SACOL1293,pnpA,pnp,-,polynucleotide phosphorylase/polyadenylase,16928.57,14.05,-1.76,0.29,0.15,-11.91,1.09071E-32,5.41E-32
USA300HOU_0414,SACOL0461,guaA,xpt pbuX guaB guaA,-,GMP synthase,18410.47,14.17,-1.76,0.29,0.14,-12.85,8.86232E-38,5.07E-37
USA300HOU_0665,SACOL0701,nupG,nupG,-,nucleoside permease NupG,5502.51,12.43,-1.77,0.29,0.13,-13.77,4.06106E-43,2.62E-42
USA300HOU_2288,SACOL2298,lytA,lytA SACOL2299,-,mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase,2198.11,11.10,-1.78,0.29,0.16,-10.81,3.10063E-27,1.30E-26
USA300HOU_0822,SACOL0859,vwb,SACOL0859,MgrA,anaerobic ribonucleoside-triphosphate reductase activating protein,118.58,6.89,-1.78,0.29,0.28,-6.27,3.57262E-10,8.18E-10
USA300HOU_0539,SACOL0591,rpsL,rplL3 rpsL rpsG fusA tuf,Translation,ribosomal protein S12,44961.46,15.46,-1.78,0.29,0.13,-13.77,4.10245E-43,2.64E-42
USA300HOU_0310,SACOL0284,USA300HOU_0310,SACOL0284,-,hypothetical protein,194.05,7.60,-1.78,0.29,0.24,-7.53,5.14076E-14,1.38E-13
USA300HOU_0613,SACOL0663,argS,SACOL0662 argS,-,arginyl-tRNA synthetase,2718.80,11.41,-1.79,0.29,0.15,-11.58,5.38106E-31,2.53E-30
USA300HOU_0311,SACOL0285,USA300HOU_0311,SACOL0285,-,hypothetical protein,123.67,6.95,-1.79,0.29,0.27,-6.64,3.11622E-11,7.54E-11
USA300HOU_0735,SACOL0772,queC,queEDC,SigB,ExsB family post-transcriptional regulator,516.72,9.01,-1.79,0.29,0.19,-9.27,1.86897E-20,6.31E-20
USA300HOU_2643,SACOL2665,USA300HOU_2643,SACOL2665,-,phage infection protein,4442.44,12.12,-1.79,0.29,0.13,-13.30,2.25643E-40,1.36E-39
USA300HOU_1151,SACOL1225,USA300HOU_1151,SACOL1225,GraRS,hypothetical lipoprotein,391.82,8.61,-1.80,0.29,0.22,-8.06,7.92425E-16,2.28E-15
USA300HOU_1205,SACOL1292,rpsO,rpsO,-,30S ribosomal protein S15,19512.14,14.25,-1.80,0.29,0.17,-10.68,1.32764E-26,5.45E-26
USA300HOU_1229,SACOL1317,glpP,mutSL glpP,GraRS,glycerol uptake operon antiterminator,726.61,9.51,-1.80,0.29,0.17,-10.64,1.92662E-26,7.84E-26
USA300HOU_2264,SACOL2275,bioY,bioY,-,BioY family protein,449.53,8.81,-1.80,0.29,0.18,-9.86,6.25392E-23,2.30E-22
USA300HOU_0086,-,USA300HOU_0086,-,-,hypothetical protein,10.26,3.36,-1.80,0.29,0.78,-2.32,0.020228252,2.77E-02
USA300HOU_0433,SACOL0476,hsdM1,hsdM1 hsdS1,-,"type I restriction-modification system, M subunit",1104.19,10.11,-1.80,0.29,0.14,-12.56,3.40605E-36,1.86E-35
USA300HOU_0937,-,USA300HOU_0937,-,-,hypothetical protein,11.24,3.49,-1.81,0.29,0.76,-2.37,0.017593061,2.43E-02
USA300HOU_0318,-,USA300HOU_0318,-,-,hypothetical protein,452.87,8.82,-1.81,0.29,0.24,-7.66,1.8176E-14,4.98E-14
USA300HOU_1702,SACOL1764,thiI,SACOL1763 thiI nifZ,TraP,thiamine biosynthesis protein,1532.70,10.58,-1.82,0.28,0.15,-12.06,1.74442E-33,8.86E-33
USA300HOU_1746,SACOL1805,USA300HOU_1746,SACOL1805,-,hypothetical protein,1201.49,10.23,-1.83,0.28,0.15,-12.19,3.42377E-34,1.77E-33
USA300HOU_1371,SACOL1471,rnhA,rnhA,ArlR,cell wall enzyme EbsB-like protein,48.80,5.61,-1.83,0.28,0.42,-4.35,1.34676E-05,2.39E-05
USA300HOU_0772,SACOL0808,USA300HOU_0772,pepT SACOL0807 SACOL0808,-,hypothetical protein,327.32,8.35,-1.83,0.28,0.21,-8.52,1.65069E-17,5.02E-17
USA300HOU_1156,SACOL1231,stp1,def2 fmt sun rlmN stp1 pknB,-,protein phosphatase 2C domain-containing protein,2710.86,11.40,-1.83,0.28,0.15,-12.29,1.07476E-34,5.66E-34
USA300HOU_2471,SACOL2491,USA300HOU_2471,SACOL2491,Rex,hypothetical protein,2604.69,11.35,-1.83,0.28,0.79,-2.33,0.0196861,2.70E-02
USA300HOU_1247,SACOL1337,USA300HOU_1247,SACOL1337 SACOL1338,-,hypothetical protein,10.67,3.42,-1.83,0.28,0.77,-2.38,0.017476164,2.41E-02
USA300HOU_2427,SACOL2443,kimA,kimA,-,hypothetical protein,1592.18,10.64,-1.83,0.28,0.17,-10.52,7.32344E-26,2.94E-25
USA300HOU_0773,SACOL0809,USA300HOU_0773,SACOL0809,MgrA,diguanylate cyclase GGDEF domain protein,2698.46,11.40,-1.84,0.28,0.15,-12.26,1.40635E-34,7.37E-34
USA300HOU_1619,SACOL1674,recD2,recD2 SACOL1675,-,recombinase D,4426.49,12.11,-1.84,0.28,0.15,-12.40,2.64225E-35,1.41E-34
USA300HOU_2615,SACOL2636,citM,citM ,TraP,CitMHS citrate-magnesium :proton/ citrate-calcium:proton symporter,150.39,7.23,-1.84,0.28,0.37,-4.92,8.80374E-07,1.68E-06
USA300HOU_2425,SACOL2442,USA300HOU_2425,cycA SACOL2442,-,Na+/H+ antiporter,1405.24,10.46,-1.84,0.28,0.15,-11.88,1.48842E-32,7.35E-32
USA300HOU_0976,SACOL1023,murE,murE SACOL1024 prfC,-,UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase,2712.95,11.41,-1.84,0.28,0.15,-11.99,3.82329E-33,1.92E-32
USA300HOU_1153,SACOL1228,fmt,def2 fmt sun rlmN stp1 pknB,-,methionyl-tRNA formyltransferase,2270.54,11.15,-1.85,0.28,0.14,-13.64,2.29436E-42,1.44E-41
USA300HOU_0854,SACOL0890,USA300HOU_0854,SACOL0890,-,Cro/CI family transcriptional regulator,337.46,8.40,-1.85,0.28,0.19,-9.56,1.18252E-21,4.12E-21
USA300HOU_0237,SACOL0208,SCIN_2,SCIN_2,GraRS,hypothetical protein,177.63,7.47,-1.86,0.28,0.31,-6.09,1.11513E-09,2.49E-09
USA300HOU_0136,SACOL0109,USA300HOU_0136,SACOL0109,-,hypothetical protein,59.30,5.89,-1.87,0.27,0.44,-4.22,2.40549E-05,4.18E-05
USA300HOU_2319,SACOL2332,galM,SACOL2331 galM ynfA,-,aldose 1-epimerase,1197.81,10.23,-1.87,0.27,0.14,-12.95,2.29234E-38,1.34E-37
USA300HOU_1122,SACOL1195,mraY,mraY murD divIB,MgrA,phospho-N-acetylmuramoyl-pentapeptide- transferase,2230.21,11.12,-1.88,0.27,0.17,-11.20,3.99547E-29,1.79E-28
USA300HOU_1540,-,USA300HOU_1540,-,-,hypothetical protein,129.99,7.02,-1.89,0.27,0.27,-7.03,2.03843E-12,5.18E-12
USA300HOU_0232,SACOL0203,hptA,hptRSA,-,iron compound ABC transporter iron compound-binding protein,220.92,7.79,-1.89,0.27,0.28,-6.83,8.38975E-12,2.08E-11
USA300HOU_0399,SACOL0447,USA300HOU_0399,SACOL0447,-,phosphoglycerate mutase,154.61,7.27,-1.89,0.27,0.26,-7.28,3.45815E-13,9.08E-13
USA300HOU_0702,SACOL0739,rimL,rimL,SigB,GNAT family acetyltransferase,231.95,7.86,-1.90,0.27,0.26,-7.41,1.25589E-13,3.35E-13
USA300HOU_1133,SACOL1208,lspA,lspA rluD,-,lipoprotein signal peptidase,1510.80,10.56,-1.90,0.27,0.15,-12.57,3.27618E-36,1.80E-35
USA300HOU_0413,SACOL0460,guaB,xpt pbuX guaB guaA,-,inosine-5'-monophosphate dehydrogenase,13885.11,13.76,-1.90,0.27,0.15,-12.50,7.02549E-36,3.81E-35
USA300HOU_1228,SACOL1316,mutL,mutSL glpP,GraRS,DNA mismatch repair protein MutL,2118.27,11.05,-1.91,0.27,0.16,-11.71,1.11467E-31,5.38E-31
USA300HOU_0282,SACOL0255,rbsU,rbsKDU,TraP,DMT superfamily drug/metabolite transporter,285.45,8.16,-1.91,0.27,0.28,-6.89,5.76028E-12,1.43E-11
USA300HOU_0954,SACOL1001,trpS,trpS,-,tryptophanyl-tRNA synthetase,1321.94,10.37,-1.92,0.26,0.14,-13.84,1.53991E-43,1.00E-42
USA300HOU_2119,SACOL2122,coaA,coaA,-,pantothenate kinase,1210.81,10.24,-1.92,0.26,0.16,-11.93,8.71303E-33,4.33E-32
USA300HOU_0815,SACOL0851,USA300HOU_0815,SACOL0851,GraRS,hypothetical lipoprotein,293.80,8.20,-1.93,0.26,0.21,-9.03,1.69758E-19,5.54E-19
USA300HOU_1523,SACOL1566,ispA,ispA xseB xseA nusB SACOL1570 accC accB,-,geranyltranstransferase,5622.04,12.46,-1.93,0.26,0.13,-15.18,4.48692E-52,3.51E-51
USA300HOU_1524,SACOL1567,xseB,ispA xseB xseA nusB SACOL1570 accC accB,-,exodeoxyribonuclease VII small subunit,1729.00,10.76,-1.93,0.26,0.14,-13.94,3.39391E-44,2.25E-43
USA300HOU_0888,SACOL0930,USA300HOU_0888,SACOL0930 pdxp ghrB,-,hypothetical protein,908.31,9.83,-1.94,0.26,0.15,-12.59,2.41295E-36,1.33E-35
USA300HOU_0105,SACOL0075,USA300HOU_0105,SACOL0075,-,hypothetical protein,211.07,7.72,-1.94,0.26,0.23,-8.55,1.25841E-17,3.84E-17
USA300HOU_2390,SACOL2407,dsbA,SACOL2406 dsbA SACOL2408,GraRS,possible lipoprotein,624.36,9.29,-1.94,0.26,0.18,-11.11,1.14792E-28,5.04E-28
USA300HOU_1910,SACOL1970,SspB,sspB2 sspA,-,cysteine protease precursor SspB,225.40,7.82,-1.95,0.26,0.22,-8.65,4.93995E-18,1.53E-17
USA300HOU_1633,SACOL1690,apt,apt recJ,-,adenine phosphoribosyltransferase,1610.54,10.65,-1.95,0.26,0.14,-14.22,7.10918E-46,4.95E-45
USA300HOU_0829,-,USA300HOU_0829,-,-,hypothetical protein,97.35,6.61,-1.95,0.26,0.30,-6.49,8.37896E-11,1.98E-10
USA300HOU_1543,SACOL1598,comGD,comGD comGC comGB comGA ,MgrA,competence protein ComGD,27.03,4.76,-1.95,0.26,0.52,-3.74,0.00018148,2.96E-04
USA300HOU_1851,SACOL1914,queG,cspR queG,-,iron-sulfur cluster-binding protein,1362.04,10.41,-1.95,0.26,0.16,-12.55,3.99508E-36,2.18E-35
USA300HOU_1701,SACOL1763,USA300HOU_1701,SACOL1763 thiI nifZ,TraP,hypothetical protein,849.44,9.73,-1.96,0.26,0.18,-10.81,3.11885E-27,1.31E-26
USA300HOU_0142,SACOL0115,cap8H,cap8H cps2H SACOL0117,MgrA,glycosyltransferase,45.63,5.51,-1.96,0.26,0.48,-4.07,4.76471E-05,8.16E-05
USA300HOU_0827,SACOL0864,USA300HOU_0827,SACOL0864,-,hypothetical protein,170.89,7.42,-1.97,0.26,0.24,-8.07,7.20711E-16,2.09E-15
USA300HOU_2036,-,USA300HOU_2036,-,-,hypothetical protein,48.74,5.61,-1.97,0.25,0.41,-4.80,1.57683E-06,2.96E-06
USA300HOU_2208,SACOL2206,rpsI,rpsI rplM,-,30S ribosomal protein S9,25268.40,14.63,-1.98,0.25,0.16,-12.19,3.56108E-34,1.83E-33
USA300HOU_0941,SACOL0987,fabH,fabHF,FapR,3-oxoacyl-[acyl-carrier-protein] synthase,3345.66,11.71,-1.98,0.25,0.18,-11.28,1.64346E-29,7.42E-29
USA300HOU_0099,SACOL0070,USA300HOU_0099,SACOL0070 SACOL0071,-,permease,83.23,6.38,-1.98,0.25,0.33,-6.02,1.74872E-09,3.87E-09
USA300HOU_0612,SACOL0662,USA300HOU_0612,SACOL0662 argS,-,hypothetical protein,523.33,9.03,-1.99,0.25,0.20,-10.13,3.99839E-24,1.52E-23
USA300HOU_1210,SACOL1297,USA300HOU_1210,ftsK SACOL1296 SACOL1297 SACOL1298 phbB,AgrA,hypothetical protein,1223.84,10.26,-1.99,0.25,0.24,-8.14,4.03644E-16,1.18E-15
USA300HOU_1945,-,USA300HOU_1945,-,-,hypothetical protein,28.35,4.83,-1.99,0.25,0.50,-3.99,6.52323E-05,1.11E-04
USA300HOU_0989,SACOL1049,menA,menA,-,"1,4-dihydroxy-2-naphthoate octaprenyltransferase",1406.78,10.46,-1.99,0.25,0.15,-13.08,4.49053E-39,2.65E-38
